,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,colesberg,-30.72,25.0972,16.89,73,100,8.07,ZA,1640596236
283,yanam,16.7333,82.2167,29.22,53,76,3.01,IN,1640596236
284,port lincoln,-34.7333,135.8667,18.02,65,0,9.23,AU,1640596237
285,fortuna,40.5982,-124.1573,6.19,96,90,0.89,US,1640596238
286,magadan,59.5667,150.8,-21.0,76,100,5.87,RU,1640596238
287,adre,13.4667,22.2,27.24,16,43,5.24,TD,1640596239
288,port-cartier,50.0334,-66.8654,-3.47,80,100,4.22,CA,1640596240
289,cochrane,51.1834,-114.4687,-29.06,79,96,1.15,CA,1640596241
290,liverpool,53.4106,-2.9779,7.05,96,90,1.34,GB,1640595975
291,tiarei,-17.5333,-149.3333,25.01,67,100,2.25,PF,1640596242
292,ahipara,-35.1667,173.1667,19.1,94,100,2.12,NZ,1640596243
293,boyolangu,-8.1181,111.8935,29.13,71,44,4.64,ID,1640596244
294,tasiilaq,65.6145,-37.6368,-8.91,62,1,2.1,GL,1640596245
295,honningsvag,70.9821,25.9704,-1.45,60,100,6.06,NO,1640596245
296,matagami,49.7502,-77.6328,-27.4,100,34,0.81,CA,1640596247
297,havre-saint-pierre,50.2334,-63.5986,-2.5,76,45,4.03,CA,1640596247
298,tezu,27.9167,96.1667,21.94,32,96,1.03,IN,1640596248
299,jasper,37.2001,-94.3502,18.54,75,1,1.34,US,1640596249
300,novotroitsk,51.203,58.3266,-4.64,91,100,7.12,RU,1640596249
301,port lavaca,28.615,-96.6261,21.19,93,1,2.06,US,1640596250
302,surt,31.2089,16.5887,17.18,40,54,7.42,LY,1640596251
303,hyderabad,17.3753,78.4744,27.73,54,69,1.03,IN,1640596212
304,sakiai,54.9547,23.0358,-4.86,95,48,2.55,LT,1640596252
305,bagotville,-28.9833,153.4167,23.01,99,100,6.18,AU,1640596253
306,vanavara,60.34,102.2797,-20.08,100,91,1.27,RU,1640596253
307,pangody,65.85,74.4859,-18.56,83,100,8.14,RU,1640596254
308,yar-sale,66.8333,70.8333,-14.73,94,100,7.85,RU,1640596255
309,bambanglipuro,-7.95,110.2833,29.09,70,41,4.01,ID,1640596257
310,carman,49.4992,-98.0016,-8.82,95,100,4.58,CA,1640596258
311,lokosovo,61.1333,74.8167,-18.78,83,88,4.62,RU,1640596259
312,casper,42.8666,-106.3131,-5.28,50,1,2.24,US,1640595977
313,jacareacanga,-6.2222,-57.7528,22.95,99,100,1.37,BR,1640596260
314,sekondi,4.937,-1.7128,28.84,72,55,3.07,GH,1640596260
315,lompoc,34.6391,-120.4579,9.32,80,1,1.54,US,1640596261
316,isangel,-19.55,169.2667,27.15,81,97,1.45,VU,1640596262
317,coihaique,-45.5752,-72.0662,16.97,59,85,3.6,CL,1640596085
318,sangueya,10.7,-14.3667,25.81,63,100,0.82,GN,1640596263
319,nabire,-3.3667,135.4833,26.22,89,46,2.29,ID,1640596264
320,vestmannaeyjar,63.4427,-20.2734,2.55,69,20,5.14,IS,1640596265
321,balikpapan,-1.2675,116.8289,28.55,84,40,2.06,ID,1640596266
322,tiksi,71.6872,128.8694,-22.36,100,100,2.0,RU,1640596267
323,huron,41.1501,-82.5499,2.12,88,100,7.8,US,1640596267
324,kinsale,51.7075,-8.5306,9.65,93,75,8.75,IE,1640596268
325,palmer,42.1584,-72.3287,0.38,66,1,4.12,US,1640596269
326,old saybrook,41.2918,-72.3762,2.24,67,1,2.06,US,1640596050
327,sinnamary,5.3833,-52.95,24.98,90,77,4.26,GF,1640596270
328,avera,33.194,-82.5271,14.93,97,2,2.53,US,1640596271
329,cedar city,37.6775,-113.0619,-0.46,66,40,10.29,US,1640596271
330,fuerte olimpo,-21.0415,-57.8738,25.98,59,62,1.69,PY,1640596272
331,berlevag,70.8578,29.0864,-2.03,54,40,5.66,NO,1640596273
332,asosa,10.0667,34.5333,26.95,35,97,2.32,ET,1640596274
333,bairiki,1.3292,172.9752,28.0,78,75,3.09,KI,1640596275
334,mackay,-21.15,149.2,26.14,82,100,4.09,AU,1640596276
335,manokwari,-0.8667,134.0833,27.08,79,93,5.51,ID,1640596277
336,sal rei,16.1833,-22.9167,21.31,94,0,3.6,CV,1640596277
337,umm kaddadah,13.6017,26.6876,25.37,12,78,6.78,SD,1640596279
338,kavieng,-2.5744,150.7967,28.57,78,99,3.22,PG,1640596279
339,mahajanga,-15.7167,46.3167,30.77,62,98,5.07,MG,1640596280
340,akersberga,59.4794,18.2997,-3.18,97,16,2.26,SE,1640596281
341,saint-georges,12.0564,-61.7485,24.5,78,47,5.08,GD,1640596281
342,rawson,-43.3002,-65.1023,21.18,43,0,6.1,AR,1640596282
343,shenjiamen,29.9576,122.298,3.44,52,8,5.76,CN,1640596284
344,diffa,13.3154,12.6113,24.92,20,48,6.92,NE,1640596285
345,kupang,-10.1667,123.5833,25.32,88,75,2.57,ID,1640596285
346,ambulu,-8.345,113.6058,29.12,72,80,3.82,ID,1640596286
347,wenling,28.3669,121.36,4.88,53,10,5.1,CN,1640596207
348,pringsewu,-5.3582,104.9744,28.57,81,49,0.98,ID,1640596287
349,dubbo,-32.25,148.6167,21.07,60,54,8.23,AU,1640596288
350,ixtapa,20.7,-105.2,20.68,79,1,1.5,MX,1640596288
351,iqaluit,63.7506,-68.5145,-19.32,94,97,0.82,CA,1640596277
352,kyra,49.5776,111.9753,-11.02,44,11,1.19,RU,1640596290
353,sao joao da barra,-21.6403,-41.0511,21.97,90,12,3.9,BR,1640596291
354,henties bay,-22.116,14.2845,19.92,59,99,3.81,NA,1640596291
355,alice,27.7523,-98.0697,22.4,100,90,3.09,US,1640596292
356,ayan,56.45,138.1667,-27.36,72,11,5.78,RU,1640596293
357,yumen,40.2833,97.2,-5.31,43,3,3.84,CN,1640596294
358,tonota,-21.4833,27.4833,23.35,71,100,1.77,BW,1640596295
359,cardedeu,41.6398,2.3574,16.49,70,38,4.98,ES,1640596295
360,veraval,20.9,70.3667,26.27,51,26,2.65,IN,1640596296
361,pacific grove,36.6177,-121.9166,9.88,88,100,1.79,US,1640596297
362,paka,4.6374,103.4368,27.97,70,70,4.91,MY,1640596298
363,southbridge,42.0751,-72.0334,0.21,72,7,1.34,US,1640596298
364,tiptur,13.2586,76.4783,26.66,34,10,4.06,IN,1640596299
365,gangavalli,11.4983,78.6497,27.89,52,7,2.8,IN,1640596300
366,atambua,-9.1061,124.8925,22.48,90,100,0.22,ID,1640596301
367,yenagoa,4.9247,6.2642,31.73,56,87,0.75,NG,1640596301
368,vagur,61.4732,-6.8119,7.07,85,100,6.92,FO,1640596302
369,bosaso,11.2842,49.1816,26.83,62,87,5.06,SO,1640596303
370,leeton,-34.5667,146.4,26.61,33,50,8.59,AU,1640596303
371,sur,22.5667,59.5289,25.68,58,30,4.52,OM,1640596010
372,alakurtti,66.9672,30.3491,-14.3,97,100,1.74,RU,1640596305
373,pingzhuang,42.0372,119.2889,-7.78,44,0,1.14,CN,1640596306
374,the pas,53.8251,-101.2541,-24.99,77,90,3.09,CA,1640596307
375,alingsas,57.9303,12.5335,-2.48,97,65,1.95,SE,1640596307
376,trairi,-3.2778,-39.2689,25.6,85,83,3.08,BR,1640596237
377,glinishchevo,53.3042,34.0652,-10.93,79,0,3.0,RU,1640596309
378,gillette,44.2911,-105.5022,-19.06,78,1,1.54,US,1640596309
379,ewa beach,21.3156,-158.0072,23.02,67,1,3.58,US,1640596030
380,half moon bay,37.4636,-122.4286,10.19,89,75,0.45,US,1640596311
381,ovruch,51.3246,28.8035,-6.55,86,28,1.35,UA,1640596312
382,bousso,10.4795,16.7117,30.67,14,94,3.27,TD,1640596313
383,dire,12.2833,-10.9667,24.42,21,100,0.67,ML,1640596313
384,poum,-20.2333,164.0167,27.78,81,99,6.74,NC,1640596314
385,bom jesus,-9.0744,-44.3586,20.89,99,100,0.76,BR,1640596315
386,ovalle,-30.5983,-71.2003,18.93,75,51,0.96,CL,1640596316
387,alta floresta,-9.8756,-56.0861,21.27,99,93,1.26,BR,1640596316
388,bullhead city,35.1478,-114.5683,13.17,62,1,2.06,US,1640596318
389,mitu,1.1983,-70.1733,21.83,96,100,0.1,CO,1640596201
390,puerto del rosario,28.5004,-13.8627,18.86,88,75,5.14,ES,1640596319
391,bengkulu,-3.8004,102.2655,28.88,71,70,3.88,ID,1640596319
392,roald,62.5833,6.1333,0.08,80,0,5.14,NO,1640596320
393,cootamundra,-34.65,148.0333,19.97,58,26,10.17,AU,1640596321
394,sarangani,5.4033,125.4636,28.14,75,100,6.95,PH,1640596322
395,ambon,-3.6954,128.1814,29.08,74,40,3.09,ID,1640596322
396,praia da vitoria,38.7333,-27.0667,18.2,89,83,14.24,PT,1640596323
397,san jose,37.3394,-121.895,10.16,90,90,3.58,US,1640596212
398,maceio,-9.6658,-35.7353,24.69,94,90,0.51,BR,1640596325
399,moindou,-21.6924,165.677,26.97,75,31,1.24,NC,1640596325
400,sorland,67.667,12.6934,-0.08,60,65,5.34,NO,1640596326
401,rosarito,32.3333,-117.0333,9.53,63,81,3.51,MX,1640596107
402,kirakira,-10.4544,161.9205,27.42,84,100,2.3,SB,1640596327
403,kuryk,43.2,51.65,6.82,59,100,8.21,KZ,1640596328
404,parainen,60.3067,22.301,-2.28,98,71,0.41,FI,1640596329
405,leningradskiy,69.3833,178.4167,-33.58,93,15,2.47,RU,1640596330
406,carutapera,-1.195,-46.02,24.98,89,100,1.93,BR,1640596330
407,clarence town,-32.5833,151.7833,19.41,77,100,3.26,AU,1640596331
408,lodja,-3.4833,23.4333,24.34,77,100,1.24,CD,1640596332
409,cockburn town,21.4612,-71.1419,24.75,76,0,6.72,TC,1640596319
410,koygorodok,60.445,50.9968,-13.23,93,98,2.58,RU,1640596333
411,andenes,69.3143,16.1194,-0.01,80,40,6.17,NO,1640596334
412,sergach,55.5308,45.4661,-14.92,91,75,5.72,RU,1640596335
413,ferme-neuve,46.7001,-75.4493,-13.27,87,6,2.12,CA,1640596335
414,grindavik,63.8424,-22.4338,-0.06,86,75,3.6,IS,1640596336
415,kavaratti,10.5669,72.642,27.02,67,13,1.53,IN,1640596337
416,kyzyl,51.7,94.45,-25.16,95,28,0.36,RU,1640596338
417,mujiayingzi,42.1167,118.7833,-7.54,45,0,3.25,CN,1640596339
418,sechura,-5.5569,-80.8222,19.38,84,100,2.77,PE,1640596339
419,derzhavinsk,51.1,66.3167,-9.63,82,100,9.01,KZ,1640596340
420,skowhegan,44.7651,-69.7192,-2.36,87,46,2.16,US,1640596341
421,fort nelson,58.8053,-122.7002,-35.69,100,74,0.46,CA,1640596341
422,port macquarie,-31.4333,152.9167,21.05,70,100,8.42,AU,1640596342
423,hobyo,5.3505,48.5268,27.44,63,100,8.41,SO,1640596343
424,chapais,49.7834,-74.8492,-23.12,100,30,1.41,CA,1640596344
425,lock haven,41.137,-77.4469,0.47,84,95,0.86,US,1640596345
426,gossas,14.4912,-16.0642,25.09,16,27,5.05,SN,1640596345
427,puerto madryn,-42.7692,-65.0385,20.01,52,0,4.03,AR,1640596346
428,tecolutla,20.4833,-97.0167,19.39,87,0,2.49,MX,1640596347
429,sosua,19.7667,-70.5167,20.99,100,75,0.0,DO,1640596347
430,nieuw amsterdam,5.8833,-55.0833,24.45,97,40,0.0,SR,1640596348
431,katangli,51.7102,143.2326,-22.68,82,10,6.3,RU,1640596349
432,enterprise,36.0252,-115.2419,7.14,40,40,4.92,US,1640596350
433,srednekolymsk,67.45,153.6833,-34.66,99,97,3.6,RU,1640596350
434,zhigansk,66.7697,123.3711,-33.84,100,100,1.51,RU,1640596351
435,amol,36.4696,52.3507,13.69,43,0,1.87,IR,1640596352
436,sao felix do xingu,-6.6447,-51.995,21.74,99,100,0.55,BR,1640596354
437,san carlos,9.6612,-68.5827,20.77,84,66,1.4,VE,1640596355
438,paragominas,-2.9667,-47.4833,22.28,99,100,1.36,BR,1640596355
439,nemuro,43.3236,145.575,-3.83,71,100,9.01,JP,1640596356
440,vestmanna,62.1564,-7.1664,4.51,93,90,6.69,FO,1640596357
441,la ronge,55.1001,-105.2842,-23.33,98,100,2.5,CA,1640596358
442,delhi,28.6667,77.2167,20.05,52,20,0.0,IN,1640596077
443,ratnagiri,16.9833,73.3,28.3,49,36,3.65,IN,1640596359
444,matay,28.419,30.7792,16.46,48,100,5.6,EG,1640596360
445,namibe,-15.1961,12.1522,23.14,62,92,3.71,AO,1640596360
446,mecca,21.4267,39.8261,26.92,45,49,3.29,SA,1640596301
447,urumqi,43.801,87.6005,-8.47,73,24,2.0,CN,1640596322
448,riyadh,24.6877,46.7219,14.08,43,79,1.79,SA,1640596090
449,dunedin,-45.8742,170.5036,10.45,97,100,0.89,NZ,1640596362
450,baruun-urt,46.6806,113.2792,-14.15,80,13,4.47,MN,1640596363
451,nicoya,10.1483,-85.452,21.66,92,14,0.88,CR,1640596219
452,dongying,37.4564,118.4856,-0.67,43,0,3.02,CN,1640596364
453,miles city,46.4083,-105.8406,-23.46,70,1,3.6,US,1640596365
454,tacuarembo,-31.7333,-55.9833,17.97,39,1,2.72,UY,1640596287
455,balaipungut,1.05,101.2833,30.23,86,79,1.91,ID,1640596367
456,teguldet,57.3064,88.1667,-11.92,91,100,2.1,RU,1640596367
457,labuhan,-6.8844,112.2051,28.31,79,97,4.89,ID,1640596368
458,vuktyl,63.8567,57.3094,-13.97,85,89,3.47,RU,1640596369
459,coruripe,-10.1256,-36.1756,24.82,88,97,3.15,BR,1640596369
460,karak,31.1667,35.75,10.4,46,0,6.17,JO,1640596370
461,alofi,-19.0595,-169.9187,26.92,75,100,4.5,NU,1640596371
462,guerrero negro,27.9769,-114.0611,14.89,74,94,6.72,MX,1640596372
463,tommot,58.9564,126.2925,-27.97,95,100,2.81,RU,1640596372
464,kabo,7.6994,18.629,34.41,15,49,2.82,CF,1640596373
465,guozhen,34.3659,107.359,-0.53,62,67,1.51,CN,1640596374
466,zhezkazgan,47.8043,67.7144,-9.01,73,0,4.0,KZ,1640596375
467,kudat,6.8837,116.8477,26.04,85,100,4.41,MY,1640596376
468,dingle,10.9995,122.6711,25.03,89,79,5.38,PH,1640596377
469,sainte-marie,-20.8968,55.5496,28.21,81,90,7.2,RE,1640596377
470,kamaishi,39.2667,141.8833,-2.51,72,36,5.04,JP,1640596378
471,chernyy yar,48.0624,46.1091,-0.65,77,100,1.95,RU,1640596379
472,alekseyevka,50.6309,38.6903,-8.89,92,40,1.76,RU,1640596379
473,brae,60.3964,-1.353,4.95,93,100,11.51,GB,1640596380
474,moerai,-22.4333,-151.3333,25.21,61,68,6.32,PF,1640596381
475,beloha,-25.1667,45.05,26.77,62,93,7.29,MG,1640596382
476,souillac,-20.5167,57.5167,24.64,78,93,5.69,MU,1640596383
477,kathmandu,27.7167,85.3167,14.12,51,20,3.09,NP,1640596003
478,gemena,3.25,19.7667,26.37,69,100,0.27,CD,1640596385
479,beinamar,8.6698,15.3813,30.76,15,55,2.51,TD,1640596385
480,albox,37.3886,-2.1495,16.29,70,69,6.42,ES,1640596386
481,gagino,55.2314,45.0339,-14.53,92,52,5.31,RU,1640596387
482,qasigiannguit,68.8193,-51.1922,-15.67,73,65,2.18,GL,1640596388
483,inhambane,-23.865,35.3833,27.66,72,93,6.3,MZ,1640596388
484,at-bashi,41.1702,75.8106,-8.52,76,100,0.59,KG,1640596389
485,milkovo,54.7167,158.6167,-11.09,92,100,6.24,RU,1640596390
486,tulungagung,-8.0657,111.9025,29.39,71,45,4.41,ID,1640596390
487,agapovka,53.2973,59.1348,-7.44,90,97,4.87,RU,1640596391
488,emba,48.8264,58.1442,-4.14,86,100,9.42,KZ,1640596392
489,saint-philippe,-21.3585,55.7679,27.9,87,100,5.92,RE,1640596393
490,vila franca do campo,37.7167,-25.4333,18.23,87,59,9.86,PT,1640596394
491,mancio lima,-7.6142,-72.8958,22.96,92,91,1.26,BR,1640596395
492,belmonte,-15.8631,-38.8828,24.28,90,87,4.95,BR,1640596396
493,sawakin,19.1059,37.3321,25.16,67,94,5.99,SD,1640596396
494,bhopal,23.2667,77.4,24.13,38,14,2.06,IN,1640596330
495,caramay,10.1815,119.236,26.34,85,100,4.62,PH,1640596398
496,zlobin,45.2924,14.6541,4.61,73,0,1.54,HR,1640596398
497,peniche,39.3558,-9.3811,16.45,94,29,5.65,PT,1640596399
498,turochak,52.2576,87.1224,-6.99,88,100,0.12,RU,1640596400
499,marrakesh,31.6315,-8.0083,12.04,100,75,2.57,MA,1640596400
500,raga,8.4596,25.678,27.92,17,100,3.54,SS,1640596401
501,beyneu,45.3167,55.2,1.0,55,100,7.69,KZ,1640596402
502,megion,61.0296,76.1136,-20.55,82,73,5.05,RU,1640596403
503,atar,20.5169,-13.0499,21.41,23,76,3.25,MR,1640596403
504,hasaki,35.7333,140.8333,1.22,25,60,3.64,JP,1640596404
505,piedecuesta,6.9879,-73.0495,19.91,89,87,0.96,CO,1640596405
506,mombetsu,44.3525,143.3525,-5.64,80,81,4.96,JP,1640596163
507,maragogi,-9.0122,-35.2225,25.08,88,98,3.02,BR,1640596406
508,wittmund,53.5667,7.7833,-0.55,86,75,4.12,DE,1640596407
509,gazalkent,41.5581,69.7708,-0.8,63,11,1.64,UZ,1640596407
510,illela,13.7292,5.2975,25.0,13,3,7.18,NG,1640596408
511,sitka,57.0531,-135.33,-1.06,86,90,7.72,US,1640596409
512,yichang,30.7144,111.2847,5.34,42,22,2.46,CN,1640596410
513,sola,-13.8833,167.55,28.26,72,86,2.86,VU,1640596410
514,concordia,-31.393,-58.0209,19.23,38,60,1.62,AR,1640596411
515,kananga,-5.8958,22.4178,25.33,81,96,2.59,CD,1640596412
516,dong hoi,17.4833,106.6,18.28,91,100,7.87,VN,1640596413
517,birao,10.2849,22.7882,30.17,13,100,5.53,CF,1640596413
518,koulikoro,14.0,-7.75,23.5,13,100,5.97,ML,1640596414
519,el carmen,8.5106,-73.4478,19.52,95,63,1.85,CO,1640596415
520,ippy,6.2679,21.2247,31.38,35,89,2.05,CF,1640596415
521,vincennes,48.85,2.4333,9.65,95,90,0.89,FR,1640596416
522,la plaine,15.3333,-61.25,23.77,83,28,2.63,DM,1640596417
523,elizabeth city,36.2946,-76.2511,11.66,87,1,4.12,US,1640596417
524,salta,-24.7859,-65.4117,21.16,72,81,1.73,AR,1640596328
525,erenhot,43.6475,111.9767,-8.1,24,0,5.26,CN,1640596419
526,katobu,-4.9408,122.5276,27.64,73,100,4.14,ID,1640596419
527,tuatapere,-46.1333,167.6833,12.68,82,98,2.28,NZ,1640596420
528,khandyga,62.6667,135.6,-49.2,100,78,0.63,RU,1640596421
529,iskateley,67.6803,53.1512,-17.42,96,98,3.5,RU,1640596421
530,kamenka,51.3223,42.7678,-9.03,95,45,2.64,RU,1640596422
531,nampula,-15.1165,39.2666,30.97,55,75,2.57,MZ,1640596423
532,cap malheureux,-19.9842,57.6142,24.7,89,33,2.68,MU,1640596424
533,labrea,-7.2586,-64.7981,23.54,97,100,0.49,BR,1640596425
534,la union,-5.4,-80.75,19.85,80,100,3.02,PE,1640596426
535,kenai,60.5544,-151.2583,6.05,92,1,7.2,US,1640596426
536,sambava,-14.2667,50.1667,29.33,62,100,3.65,MG,1640596427
537,quatre cocos,-20.2078,57.7625,24.49,76,72,5.38,MU,1640596428
538,gamba,-2.65,10.0,27.32,71,100,3.17,GA,1640596429
539,gogrial,8.5332,28.1004,31.7,19,100,3.19,SS,1640596429
540,kununurra,-15.7667,128.7333,32.99,46,99,6.17,AU,1640596430
541,kudahuvadhoo,2.6708,72.8944,27.69,65,67,6.93,MV,1640596431
542,trofors,65.5333,13.4063,-1.36,95,100,2.03,NO,1640596432
543,joshimath,30.5667,79.5667,8.76,49,14,2.87,IN,1640596432
544,ambilobe,-13.2,49.05,37.75,22,100,1.95,MG,1640596433
545,hamilton,39.1834,-84.5333,12.77,83,90,1.34,US,1640596212
546,embonas,36.2269,27.8564,15.46,60,93,3.52,GR,1640596434
547,aspros,40.9,22.6309,16.6,74,97,0.93,GR,1640596435
548,hurghada,27.2574,33.8129,19.65,44,26,6.44,EG,1640596435
549,gudermes,43.3569,46.1053,7.69,77,66,0.46,RU,1640596436
550,kyabe,9.4515,18.9449,33.65,13,22,3.76,TD,1640596437
551,port hedland,-20.3167,118.5667,42.03,23,82,9.26,AU,1640596437
552,nuuk,64.1835,-51.7216,-2.66,74,20,2.06,GL,1640596438
553,boddam,57.4667,-1.7833,5.21,89,98,5.21,GB,1640596439
554,aljezur,37.3191,-8.8033,16.65,96,67,3.06,PT,1640596440
555,burns lake,54.2331,-125.7533,-25.87,93,44,1.47,CA,1640596440
556,chake chake,-5.2459,39.7666,29.47,66,98,2.22,TZ,1640596441
557,lagos,6.5833,3.75,31.69,58,51,1.16,NG,1640596096
558,kashi,39.4547,75.9797,1.24,42,76,1.63,CN,1640596443
559,yerbogachen,61.2767,108.0108,-33.59,98,20,1.45,RU,1640596443
560,sioux lookout,50.1001,-91.917,-14.69,92,100,4.22,CA,1640596444
561,conde,-7.2597,-34.9075,25.7,94,20,0.0,BR,1640596445
562,necochea,-38.5473,-58.7368,11.32,90,0,2.74,AR,1640596446
563,yamada,39.4667,141.95,-2.99,62,5,3.31,JP,1640596446
564,takanabe,32.1333,131.5,3.53,55,0,2.04,JP,1640596447
565,dongtai,32.8523,120.3095,0.87,27,0,2.08,CN,1640596449
